country,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
United States,2810927,2839076,2852747,3424996,179.22
United Kingdom,606874,613309,600532,696705,133.313
France,604105,607786,611291,678259,106.597
Germany,929351,952295,936772,1000855,73.548
Netherlands,149805,152991,151547,171175,114.468
Belgium,109278,110341,108436,128952,169.894
Spain,420589,423994,414914,501106,173.233
Italy,656891,638884,642964,756317,182.298
Poland,402533,411312,407624,485441,206.508
Hungary,131293,130624,129266,142921,128.939
Czech Republic,111007,112604,112040,131440,182.952
Sweden,91627,91920,88545,99647,87.812
Greece,124069,119952,124538,132966,95.679
Denmark,53103,55076,53805,55477,25.534
Hong Kong S.A.R. of China,45883,47478,48706,50653,44.117
Singapore,20905,21282,21446,22000,13.658
Japan,1340567,1362470,1387775,1376426,10.146
Brazil,1312663,1316719,1349802,1571383,115.667
Mexico,701160,718206,728889,1045794,257.075
Israel,44425,44397,45794,49469,51.918
Thailand,468911,473541,506211,501438,26.61
New Zealand,33495,33053,34088,33177,-7.564
South Korea,284548,298030,294080,308318,31.266
Taiwan Province of China,171242,172784,176296,173156,-1.196
Kazakhstan,74381,130515,133489,162613,267.188
Kyrgyzstan,33166,32989,33295,39977,105.184
Moldova,36768,37176,36794,40382,103.692
Russia,1824340,1827827,1800683,2124479,211.405
Ukraine,574123,587665,581114,616835,81.407
Armenia,27367,25645,26252,35371,302.304
Austria,81311,82063,81557,91553,110.821
Azerbaijan,57109,57250,56447,75647,185.609
Bulgaria,109330,108247,107849,126525,259.256
Chile,106045,106458,109079,127387,106.088
Colombia,226799,236228,243648,301480,130.251
Croatia,53269,52562,51611,57922,133.158
Cyprus,6009,5798,6218,6636,60.513
Ecuador,70049,71769,73479,115842,251.745
Estonia,15476,15684,15332,16206,53.421
Finland,53546,54394,53821,55663,31.51
Iceland,2229,2247,2261,2321,21.445
Ireland,,30621,30728,32271,32.32
Latvia,28659,28743,27632,28989,33.921
Lithuania,39990,39452,38184,43824,167.552
Luxembourg,4251,4300,4288,4706,68.439
North Macedonia,20318,19727,20412,25049,235.03
Malaysia,168100,172100,173700,174300,9.329
Malta,3556,3672,3684,4093,96.52
Mauritius,10140,10787,11174,11060,28.348
Mongolia,15812,17331,17205,15922,-26.468
Norway,40634,40716,40500,41155,9.998
Oman,8861,8979,8581,10585,35.272
Panama,19482,19720,20332,23876,94.177
Paraguay,29021,31258,32362,34139,45.971
Peru,98704,112516,114560,214503,323.476
Portugal,109283,112692,111474,125500,140.235
Qatar,2294,2385,2200,2627,11.692
Serbia,103722,101655,102131,114954,181.116
Slovakia,53702,54137,53115,60277,121.419
Slovenia,20436,20428,20547,24277,182.711
Switzerland,66703,66888,67515,77087,116.68
Tajikistan,32027,32699,33537,41743,95.327
Uzbekistan,160723,154913,154570,175637,56.381
Kosovo,8738,8866,9552,11108,110.329
